,location,crop,season,indicator,Unit,Date,Value,State,mean
236,Adilabad,Jowar,Kharif,Production (In Tonnes),tonnes,2011,27651.0,Telangana,79.6026315789
237,Adilabad,Jowar,Kharif,Production (In Tonnes),tonnes,2012,32241.0,Telangana,79.6026315789
238,Adilabad,Jowar,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,1999,1.2128514056,Telangana,79.6026315789
239,Adilabad,Jowar,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2000,1.2289916382,Telangana,79.6026315789
240,Adilabad,Jowar,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2001,1.5989909864,Telangana,79.6026315789
241,Adilabad,Jowar,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2002,1.675002021,Telangana,79.6026315789
242,Adilabad,Jowar,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2003,1.53899608,Telangana,79.6026315789
243,Adilabad,Jowar,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2004,1.443010449,Telangana,79.6026315789
244,Adilabad,Jowar,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2005,1.5640025034,Telangana,79.6026315789
245,Adilabad,Jowar,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2006,1.871007371,Telangana,79.6026315789
246,Adilabad,Jowar,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2007,1.5140238131,Telangana,79.6026315789
247,Adilabad,Jowar,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2008,2.347826087,Telangana,79.6026315789
248,Adilabad,Jowar,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2009,1.7840051951,Telangana,79.6026315789
249,Adilabad,Jowar,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2010,1.7620048226,Telangana,79.6026315789
